number,group,value.5,value.10,value.15,value.20,value.25,value.30,value.35,value.40
1,group1,1.466666667,1.133333333,0.666666667,0.533333333,0.666666667,0.533333333,0.866666667,1.066666667
2,group1,1.666666667,0.733333333,0.533333333,0.866666667,0.466666667,0.6,0.866666667,0.72
3,group1,2.333333333,1.133333333,0.6,1,0.533333333,0.666666667,0.866666667,0.866666667
4,group1,1.466666667,1.133333333,0.666666667,0.666666667,0.733333333,0.866666667,0.533333333,0.8
5,group1,1.266666667,0.6,0.866666667,0.466666667,0.533333333,0.32,0.466666667,1.133333333
6,group1,1.333333333,1,0.733333333,0.6,0.533333333,1.133333333,0.72,0.8
7,group1,1.266666667,0.8,0.6,1,1.266666667,0.52,0.733333333,1.133333333
8,group1,3.333333333,0.733333333,0.866666667,0.6,1.133333333,0.866666667,1,0.733333333
9,group1,1.8,0.866666667,0.533333333,0.533333333,0.933333333,0.6,0.533333333,0.6
10,group2,0.466666667,0.866666667,0.666666667,0.466666667,0.4,1.133333333,1,0.533333333
11,group2,0.466666667,0.466666667,0.193333333,0.13,0.16,0.4,0.866666667,0.4
12,group2,0.466666667,0.24,0.13,0.07,0.13,0.4,0.16,0.16
13,group2,0.533333333,0.423333333,0.32,0.21,0.32,0.24,0.4,0.8
14,group2,0.666666667,0.07,0.32,0.16,0.16,0.32,0.466666667,0.533333333
15,group2,0.666666667,0.386666667,0.4,0.4,0.24,0.21,0.32,0.466666667
16,group2,1.4,0.13,0.16,0.16,0.16,0.453333333,0.32,0.4
17,group2,0.6,0.13,0.4,0.24,0.24,0.466666667,0.466666667,0.533333333
18,group2,0.32,0.21,0.32,0.21,0.386666667,0.24,0.866666667,0.6
